climate,obstacle,orientation,heat_SP,cool_SP,load,cv,qcd
1,0,-45,19,24,heat_load [kWh/m2],0,0
1,0,-45,19,24,cool_load [kWh/m2],0.0831418,0.0740717
1,0,-45,19,24,light_load [kWh/m2],0.0197538,0.00777994
1,0,-45,19,24,primary [kWh/m2],0.0653157,0.0590866
1,0,-45,19,26,heat_load [kWh/m2],0,0
1,0,-45,19,26,cool_load [kWh/m2],0.101437,0.0903695
1,0,-45,19,26,light_load [kWh/m2],0.0197538,0.00777994
1,0,-45,19,26,primary [kWh/m2],0.0768167,0.069432
1,0,-45,21,24,heat_load [kWh/m2],0,0
1,0,-45,21,24,cool_load [kWh/m2],0.0831418,0.0740717
1,0,-45,21,24,light_load [kWh/m2],0.0197538,0.00777994
1,0,-45,21,24,primary [kWh/m2],0.0653157,0.0590866
1,0,-45,21,26,heat_load [kWh/m2],0,0
1,0,-45,21,26,cool_load [kWh/m2],0.101437,0.0903695
1,0,-45,21,26,light_load [kWh/m2],0.0197538,0.00777994
1,0,-45,21,26,primary [kWh/m2],0.0768167,0.069432
1,0,0,19,24,heat_load [kWh/m2],0,0
1,0,0,19,24,cool_load [kWh/m2],0.0871376,0.078628
1,0,0,19,24,light_load [kWh/m2],0.0257319,0.00904692
1,0,0,19,24,primary [kWh/m2],0.0649327,0.0593582
1,0,0,19,26,heat_load [kWh/m2],0,0
1,0,0,19,26,cool_load [kWh/m2],0.111108,0.100655
1,0,0,19,26,light_load [kWh/m2],0.0257319,0.00904692
1,0,0,19,26,primary [kWh/m2],0.0783921,0.0717939
1,0,0,21,24,heat_load [kWh/m2],0,0
1,0,0,21,24,cool_load [kWh/m2],0.0871376,0.078628
1,0,0,21,24,light_load [kWh/m2],0.0257319,0.00904692
1,0,0,21,24,primary [kWh/m2],0.0649327,0.0593582
1,0,0,21,26,heat_load [kWh/m2],0,0
1,0,0,21,26,cool_load [kWh/m2],0.111108,0.100655
1,0,0,21,26,light_load [kWh/m2],0.0257319,0.00904692
1,0,0,21,26,primary [kWh/m2],0.0783921,0.0717939
1,0,45,19,24,heat_load [kWh/m2],0,0
1,0,45,19,24,cool_load [kWh/m2],0.0757807,0.0683564
1,0,45,19,24,light_load [kWh/m2],0.0243464,0.00732246
1,0,45,19,24,primary [kWh/m2],0.0561959,0.0510248
1,0,45,19,26,heat_load [kWh/m2],0,0
1,0,45,19,26,cool_load [kWh/m2],0.0965284,0.0869427
1,0,45,19,26,light_load [kWh/m2],0.0243464,0.00732246
1,0,45,19,26,primary [kWh/m2],0.0673831,0.0610997
1,0,45,21,24,heat_load [kWh/m2],0,0
1,0,45,21,24,cool_load [kWh/m2],0.0757807,0.0683564
1,0,45,21,24,light_load [kWh/m2],0.0243464,0.00732246
1,0,45,21,24,primary [kWh/m2],0.0561959,0.0510248
1,0,45,21,26,heat_load [kWh/m2],0,0
1,0,45,21,26,cool_load [kWh/m2],0.0965284,0.0869427
1,0,45,21,26,light_load [kWh/m2],0.0243464,0.00732246
1,0,45,21,26,primary [kWh/m2],0.0673831,0.0610997
1,1,-45,19,24,heat_load [kWh/m2],0,0
1,1,-45,19,24,cool_load [kWh/m2],0.0838955,0.0747998
1,1,-45,19,24,light_load [kWh/m2],0.0209705,0.00830817
1,1,-45,19,24,primary [kWh/m2],0.0655108,0.0592006
1,1,-45,19,26,heat_load [kWh/m2],0,0
1,1,-45,19,26,cool_load [kWh/m2],0.102412,0.0914117
1,1,-45,19,26,light_load [kWh/m2],0.0209705,0.00830817
1,1,-45,19,26,primary [kWh/m2],0.0770094,0.0696521
1,1,-45,21,24,heat_load [kWh/m2],0,0
1,1,-45,21,24,cool_load [kWh/m2],0.0838955,0.0747998
1,1,-45,21,24,light_load [kWh/m2],0.0209705,0.00830817
1,1,-45,21,24,primary [kWh/m2],0.0655108,0.0592006
1,1,-45,21,26,heat_load [kWh/m2],0,0
1,1,-45,21,26,cool_load [kWh/m2],0.102412,0.0914117
1,1,-45,21,26,light_load [kWh/m2],0.0209705,0.00830817
1,1,-45,21,26,primary [kWh/m2],0.0770094,0.0696521
1,1,0,19,24,heat_load [kWh/m2],0,0
1,1,0,19,24,cool_load [kWh/m2],0.0886235,0.0801566
1,1,0,19,24,light_load [kWh/m2],0.0285291,0.0102117
1,1,0,19,24,primary [kWh/m2],0.0649832,0.0595208
1,1,0,19,26,heat_load [kWh/m2],0,0
1,1,0,19,26,cool_load [kWh/m2],0.113785,0.103156
1,1,0,19,26,light_load [kWh/m2],0.0285291,0.0102117
1,1,0,19,26,primary [kWh/m2],0.0787554,0.0722331
1,1,0,21,24,heat_load [kWh/m2],0,0
1,1,0,21,24,cool_load [kWh/m2],0.0886235,0.0801566
1,1,0,21,24,light_load [kWh/m2],0.0285291,0.0102117
1,1,0,21,24,primary [kWh/m2],0.0649832,0.0595208
1,1,0,21,26,heat_load [kWh/m2],0,0
1,1,0,21,26,cool_load [kWh/m2],0.113785,0.103156
1,1,0,21,26,light_load [kWh/m2],0.0285291,0.0102117
