climate,obstacle,orientation,heat_SP,cool_SP,load,cvrmse,model
0,2,-45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,-45,19,24,cool_load [kWh/m2],0.0159417,xgb12
0,2,-45,19,24,light_load [kWh/m2],0.0143443,xgb12
0,2,-45,19,24,primary [kWh/m2],0.0115138,xgb12
0,2,-45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,-45,19,26,cool_load [kWh/m2],0.0184734,xgb12
0,2,-45,19,26,light_load [kWh/m2],0.0130568,xgb12
0,2,-45,19,26,primary [kWh/m2],0.017124,xgb12
0,2,-45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,-45,21,24,cool_load [kWh/m2],0.0148408,xgb12
0,2,-45,21,24,light_load [kWh/m2],0.0152391,xgb12
0,2,-45,21,24,primary [kWh/m2],0.0137374,xgb12
0,2,-45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,-45,21,26,cool_load [kWh/m2],0.0191996,xgb12
0,2,-45,21,26,light_load [kWh/m2],0.0148844,xgb12
0,2,-45,21,26,primary [kWh/m2],0.0142076,xgb12
0,3,0,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,0,19,24,cool_load [kWh/m2],0.0193376,xgb12
0,3,0,19,24,light_load [kWh/m2],0.0160034,xgb12
0,3,0,19,24,primary [kWh/m2],0.0160502,xgb12
0,3,0,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,0,19,26,cool_load [kWh/m2],0.023665,xgb12
0,3,0,19,26,light_load [kWh/m2],0.0170823,xgb12
0,3,0,19,26,primary [kWh/m2],0.015623,xgb12
0,3,0,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,0,21,24,cool_load [kWh/m2],0.0191514,xgb12
0,3,0,21,24,light_load [kWh/m2],0.0147721,xgb12
0,3,0,21,24,primary [kWh/m2],0.0165089,xgb12
0,3,0,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,0,21,26,cool_load [kWh/m2],0.0225768,xgb12
0,3,0,21,26,light_load [kWh/m2],0.0154742,xgb12
0,3,0,21,26,primary [kWh/m2],0.0156338,xgb12
0,3,45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,45,19,24,cool_load [kWh/m2],0.019144,xgb12
0,3,45,19,24,light_load [kWh/m2],0.0157755,xgb12
0,3,45,19,24,primary [kWh/m2],0.0119237,xgb12
0,3,45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,45,19,26,cool_load [kWh/m2],0.021426,xgb12
0,3,45,19,26,light_load [kWh/m2],0.0158292,xgb12
0,3,45,19,26,primary [kWh/m2],0.0158632,xgb12
0,3,45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,45,21,24,cool_load [kWh/m2],0.0158929,xgb12
0,3,45,21,24,light_load [kWh/m2],0.0145921,xgb12
0,3,45,21,24,primary [kWh/m2],0.0145818,xgb12
0,3,45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,45,21,26,cool_load [kWh/m2],0.0222025,xgb12
0,3,45,21,26,light_load [kWh/m2],0.0155497,xgb12
0,3,45,21,26,primary [kWh/m2],0.0158928,xgb12
0,3,-45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,-45,19,24,cool_load [kWh/m2],0.0176414,xgb12
0,3,-45,19,24,light_load [kWh/m2],0.0125024,xgb12
0,3,-45,19,24,primary [kWh/m2],0.0141061,xgb12
0,3,-45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,-45,19,26,cool_load [kWh/m2],0.0264009,xgb12
